Country,Gini,Year
Country,,
Australia,0.441,2020.0
Austria,0.486,2019.0
Belgium,0.489,2019.0
Canada,0.438,2020.0
Chile,0.495,2017.0
Costa Rica,0.551,2021.0
Czech Republic,0.432,2019.0
Denmark,0.445,2019.0
Estonia,0.465,2019.0
Finland,0.516,2020.0
France,0.519,2019.0
Germany,0.497,2019.0
Greece,0.525,2019.0
Hungary,0.463,2019.0
Iceland,0.369,2017.0
Ireland,0.52,2018.0
Israel,0.449,2019.0
Italy,0.511,2018.0
Japan,0.501,2018.0
Latvia,0.483,2020.0
Lithuania,0.495,2019.0
Luxembourg,0.49,2019.0
Mexico,0.435,2020.0
Netherlands,0.453,2020.0
New Zealand,0.454,2020.0
Norway,0.436,2020.0
Poland,0.452,2018.0
Portugal,0.511,2019.0
Slovakia,0.383,2019.0
Slovenia,0.444,2019.0
South Korea,0.405,2020.0
Spain,0.491,2019.0
Sweden,0.433,2020.0
Switzerland,0.402,2019.0
Turkey,0.502,2019.0
United Kingdom,0.507,2020.0
United States,0.517,2021.0
