Country/Territory,Average connection speed (Mbit/s) Opensignal (May 2020) (data collected Q1 2020)[5],Median connection speed (Mbit/s) Ookla (March 2022)[6]
Canada,59.6,75.18
South Korea,59.0,117.95
Netherlands,54.8,108.33
Japan,51.4,44.05
Norway,48.8,134.73
Singapore,47.5,67.99
Australia,43.0,76.52
Switzerland,42.8,82.29
Belgium,37.6,58.65
Croatia,36.6,86.48
New Zealand,35.2,49.49
Austria,34.6,56.6
Denmark,33.5,105.65
Lithuania,33.3,50.13
Czech Republic,32.7,44.55
United Arab Emirates,31.8,135.35
Hungary,31.7,41.32
Qatar,31.3,120.69
North Macedonia,30.0,64.23
Finland,29.8,71.23
Sweden,29.7,73.61
Taiwan,28.9,53.93
Germany,28.7,55.7
France,28.6,60.94
United States,26.7,61.12
Portugal,26.3,64.3
Spain,26.2,34.26
Slovenia,26.0,54.57
Albania,25.8,40.48
Slovakia,25.3,33.44
Serbia,25.2,45.81
Oman,25.2,44.47
Italy,24.3,37.15
Lebanon,23.8,16.38
Greece,23.7,59.42
United Kingdom,22.9,48.1
Hong Kong,21.8,47.34
Romania,21.4,36.9
Saudi Arabia,21.4,102.79
Poland,20.7,40.14
Vietnam,20.6,33.9
Uruguay,20.3,34.43
Turkey,20.0,30.48
Mexico,19.6,29.81
Maldives,19.4,47.93
Ireland,19.2,30.16
South Africa,19.1,33.62
Puerto Rico,18.0,
Azerbaijan,17.8,30.4
Argentina,17.4,20.64
Morocco,17.4,27.84
Laos,17.1,23.41
Kuwait,16.6,96.23
Bahrain,16.4,53.08
Brunei,16.4,71.38
Iran,16.4,24.9
Tunisia,15.5,22.64
Brazil,15.3,22.3
Israel,15.2,28.01
Guatemala,15.0,17.3
Russia,14.5,20.46
Ukraine,14.0,15.62
Costa Rica,14.0,17.46
Chile,13.7,22.49
Bolivia,13.6,14.1
Honduras,13.4,20.73
Colombia,13.4,12.35
Ecuador,13.3,17.7
Jordan,12.5,19.47
Peru,12.1,15.64
Afghanistan,12.0,5.5
Kazakhstan,11.9,18.71
Dominican Republic,11.5,20.7
Malaysia,11.0,25.87
Kenya,10.9,16.93
Belarus,10.8,9.99
Paraguay,10.8,15.15
Egypt,10.7,19.73
Kyrgyzstan,10.5,16.3
Sri Lanka,10.2,13.15
Indonesia,9.9,17.7
Thailand,9.2,33.49
Senegal,9.1,21.44
Philippines,8.5,19.48
Panama,8.4,17.03
Pakistan,8.4,16.73
India,8.1,50.21
Cambodia,8.0,16.12
Nepal,7.5,16.45
Cameroon,7.5,11.88
Ivory Coast,7.4,9.92
Nigeria,7.3,18.92
Bangladesh,6.8,10.43
Ghana,6.8,8.44
Somalia,6.4,7.95
Uzbekistan,6.2,13.27
Algeria,6.0,12.44
El Salvador,5.8,21.03
Tanzania,5.4,10.39
Iraq,1.6,39.9
Bulgaria,,87.51
China,,83.43
Luxembourg,,82.85
Cyprus,,75.48
Montenegro,,41.93
Estonia,,55.07
Macau,,50.16
Malta,,49.66
Latvia,,41.6
Suriname,,40.7
Togo,,34.42
Jamaica,,30.84
Georgia,,30.67
Moldova,,29.46
Bosnia and Herzegovina,,28.49
Trinidad and Tobago,,28.37
Bahamas,,26.77
Fiji,,25.99
Kosovo,,24.63
Botswana,,24.14
Myanmar,,24.06
Angola,,22.59
Armenia,,22.01
Ethiopia,,21.08
Namibia,,18.43
Nicaragua,,18.3
Mauritius,,18.09
Malawi,,17.95
Yemen,,16.89
Mongolia,,16.69
Uganda,,15.99
Mozambique,,15.66
Zimbabwe,,13.99
Syria,,13.24
Haiti,,12.49
DR Congo,,12.08
Libya,,10.4
Zambia,,10.36
Sudan,,9.5
Cuba,,9.1
Tajikistan,,7.05
Venezuela,,5.68
Palestine,,4.89
