Country/district,"Yes, important[1]","No, unimportant[1]"
Sweden,17%,82%
Denmark,19%,80%
Estonia,16%,78%
Japan,24%,75%
Hong Kong,24%,74%
United Kingdom,27%,73%
France,30%,69%
Vietnam,30%,69%
Latvia,39%,58%
Switzerland,41%,57%
Belarus,34%,56%
Russia,34%,56%
Luxembourg,39%,59%
Hungary,39%,58%
Germany,40%,59%
Uruguay,41%,59%
Kazakhstan,43%,58%
Canada,42%,57%
Albania,39%,53%
South Korea,43%,56%
Lithuania,42%,49%
Slovenia,47%,52%
Ukraine,46%,48%
Spain,49%,50%
Azerbaijan,50%,49%
Israel,51%,48%
Uzbekistan,51%,46%
Ireland,54%,46%
Serbia,54%,44%
United States,65%,34%
Argentina,66%,33%
Chile,70%,29%
Singapore,70%,29%
Croatia,70%,28%
Greece,71%,28%
Montenegro,71%,28%
Italy,72%,25%
Kyrgyzstan,72%,25%
Armenia,73%,25%
Mexico,73%,25%
Cyprus,75%,24%
Moldova,72%,19%
North Macedonia,76%,22%
Poland,75%,19%
Bosnia and Herzegovina,77%,21%
Venezuela,79%,21%
Costa Rica,79%,19%
Turkmenistan,80%,18%
Georgia,81%,16%
Ecuador,82%,17%
Turkey,82%,15%
Colombia,83%,16%
El Salvador,83%,16%
Nicaragua,84%,15%
Peru,84%,14%
South Africa,85%,15%
Romania,84%,12%
Iraq,84%,11%
Tajikistan,85%,12%
Brazil,87%,13%
Dominican Republic,87%,13%
Lebanon,87%,12%
Malta,86%,10%
Cote d'Ivoire,88%,12%
Zimbabwe,88%,12%
Panama,88%,11%
Tanzania,89%,11%
Guatemala,88%,9%
Bolivia,89%,10%
Syria,89%,9%
India,90%,9%
Kosovo,90%,8%
United Arab Emirates,91%,8%
Paraguay,92%,8%
Kuwait,91%,6%
Pakistan,92%,6%
State of Palestine,93%,7%
Sudan,93%,7%
Uganda,93%,7%
Nepal,93%,6%
Tunisia,93%,5%
Kenya,94%,6%
Saudi Arabia,93%,4%
Democratic Republic of the Congo,94%,5%
Bahrain,94%,4%
Chad,95%,5%
Ghana,95%,5%
Rwanda,95%,5%
Zambia,95%,5%
Algeria,95%,4%
Mali,95%,4%
Qatar,95%,4%
Cameroon,96%,4%
Philippines,96%,4%
Senegal,96%,4%
Cambodia,96%,3%
Malaysia,96%,3%
Nigeria,96%,3%
Djibouti,96%,2%
Afghanistan,97%,3%
Comoros,97%,2%
Egypt,97%,2%
Thailand,97%,2%
Morocco,97%,1%
Burundi,98%,2%
Mauritania,98%,2%
Malawi,99%,1%
Sri Lanka,99%,1%
Yemen,99%,1%
Bangladesh,99%,0%
Indonesia,99%,0%
Niger,99%,0%
