Rank,Country,Average daily dietary energy consumption per capita[8],Average daily dietary energy consumption per capita[8]
Rank,Country,kilocalories,Year
1,Ireland,3885,2018
2,United States,3782,2018
3,Belgium,3769,2018
4,Turkey,3711,2018
5,Austria,3695,2018
6,Iceland,3654,2018
7,Romania,3581,2018
8,Canada,3566,2018
9,Germany,3554,2018
10,Poland,3537,2018
11,Israel,3528,2018
12,Italy,3503,2018
13,France,3502,2018
14,Montenegro,3500,2018
15,Portugal,3480,2018
16,Kuwait,3471,2018
17,Luxembourg,3465,2018
18,Tunisia,3450,2018
19,South Korea,3420,2018
20,Malta,3420,2018
21,Morocco,3412,2018
22,Lithuania,3411,2018
23,Denmark,3401,2018
24,Australia,3391,2018
25,Greece,3382,2018
26,Norway,3371,2018
27,Albania,3360,2018
28,Switzerland,3354,2018
29,Russia,3345,2018
30,United Kingdom,3344,2018
31,Cuba,3344,2018
32,Finland,3343,2018
33,Algeria,3322,2018
33,Spain,3322,2018
35,Hungary,3316,2018
36,United Arab Emirates,3314,2018
37,Argentina,3307,2018
38,Bosnia and Herzegovina,3307,2018
39,Saudi Arabia,3307,2018
40,Brazil,3301,2018
41,Netherlands,3297,2018
42,Egypt,3292,2018
43,Czech Republic,3277,2018
44,Belarus,3270,2018
45,Hong Kong,3267,2018
46,Estonia,3247,2018
47,Latvia,3229,2018
48,China,3206,2018
49,Uruguay,3202,2018
50,New Zealand,3191,2018
51,Slovenia,3191,2018
52,Sweden,3184,2018
53,Mexico,3157,2018
54,Azerbaijan,3149,2018
55,Colombia,3114,2018
56,Ukraine,3102,2018
57,Iran,3087,2018
58,Kiribati,3078,2018
59,Croatia,3074,2018
60,North Macedonia,3072,2018
61,Kazakhstan,3067,2018
62,Mauritius,3051,2018
63,Ghana,3035,2018
64,Samoa,3030,2018
65,Chile,3029,2018
66,Costa Rica,3029,2018
67,Vietnam,3025,2018
68,Cyprus,3019,2018
69,Uzbekistan,3011,2018
70,Armenia,2997,2018
71,Trinidad and Tobago,2991,2018
72,Brunei,2985,2013
73,Taiwan,2983,2018
74,Saint Vincent and the Grenadines,2968,2018
75,Barbados,2956,2018
76,Dominica,2952,2018
77,Oman,2940,2018
78,Guyana,2913,2018
79,South Africa,2899,2018
80,Dominican Republic,2892,2018
81,Indonesia,2884,2018
82,Mauritania,2877,2018
83,Mali,2873,2018
84,Slovakia,2871,2018
85,New Caledonia (France),2858,2017
86,Lebanon,2857,2018
87,Bulgaria,2854,2018
88,Panama,2851,2018
89,Malaysia,2845,2018
90,Georgia,2835,2018
91,Turkmenistan,2830,2018
92,Serbia,2828,2018
93,Thailand,2804,2018
94,Jamaica,2792,2018
95,Fiji,2781,2018
96,Ivory Coast,2778,2018
97,Peru,2775,2018
98,Belize,2775,2018
99,Nepal,2769,2018
100,Paraguay,2768,2018
101,Laos,2758,2018
102,Benin,2755,2018
103,Guinea,2746,2018
104,Burkina Faso,2737,2018
105,Sri Lanka,2737,2018
106,Cameroon,2733,2018
107,Jordan,2732,2018
108,Kyrgyzstan,2729,2018
109,Japan,2705,2018
110,Suriname,2698,2018
111,El Salvador,2696,2018
112,Djibouti,2694,2018
113,Honduras,2673,2018
114,Myanmar,2673,2018
115,Philippines,2662,2018
116,Bahamas,2655,2018
117,Gabon,2633,2018
118,Saint Lucia,2618,2018
119,Iraq,2608,2018
120,Vanuatu,2607,2018
121,Ecuador,2606,2018
122,Niger,2601,2018
123,Nicaragua,2582,2018
124,Saint Kitts and Nevis,2582,2018
125,Mongolia,2579,2018
126,Sudan,2578,2018
127,Nigeria,2572,2018
128,Bangladesh,2563,2018
129,Guatemala,2551,2018
130,Senegal,2545,2018
131,Cape Verde,2541,2018
132,India,2533,2018
133,Gambia,2533,2018
134,Cambodia,2492,2018
135,Pakistan,2486,2018
136,Namibia,2469,2018
137,São Tomé and Príncipe,2446,2018
138,Antigua and Barbuda,2445,2018
139,Togo,2443,2018
140,Eswatini,2426,2018
141,Solomon Islands,2415,2018
142,Bolivia,2412,2018
143,Grenada,2402,2018
144,Malawi,2392,2018
145,Angola,2385,2018
146,Moldova,2383,2018
147,Tanzania,2373,2018
148,Sierra Leone,2369,2018
149,Botswana,2342,2018
150,Ethiopia,2338,2018
151,Lesotho,2323,2018
152,Timor-Leste,2287,2018
153,Republic of the Congo,2285,2018
154,Maldives,2235,2018
155,Guinea-Bissau,2229,2018
156,Kenya,2197,2018
157,Rwanda,2188,2018
158,Liberia,2168,2018
159,Yemen,2154,2018
160,Haiti,2121,2018
161,Venezuela,2120,2018
162,Chad,2115,2018
163,Tajikistan,2109,2018
164,Mozambique,2103,2018
165,Afghanistan,2040,2018
166,North Korea,2019,2018
167,Zambia,2002,2018
168,Uganda,1981,2018
169,Madagascar,1938,2018
170,Zimbabwe,1908,2018
171,Central African Republic,1786,2018
